Timestamp,symbol,price,volume
1693497540000,ABC,103.7662,5
1693497600000,ABC,103.4242,1
1693497660000,ABC,103.1052,2
1693497720000,ABC,102.8238,3
1693497780000,ABC,102.5933,4
1693497840000,ABC,102.4249,5
1693497900000,ABC,102.3272,1
1693497960000,ABC,102.3062,2
1693498020000,ABC,102.3647,3
1693498080000,ABC,102.5023,4
1693498140000,ABC,102.7156,5
1693498200000,ABC,102.9980,1
1693498260000,ABC,103.3403,2
1693498320000,ABC,103.7309,3
1693498380000,ABC,104.1561,4
1693498440000,ABC,104.6009,5
1693498500000,ABC,105.0498,1
1693498560000,ABC,105.4866,2
1693498620000,ABC,105.8961,3
1693498680000,ABC,106.2639,4
1693498740000,ABC,106.5773,5
1693498800000,ABC,106.8259,1
1693498860000,ABC,107.0016,2
1693498920000,ABC,107.0996,3
1693498980000,ABC,107.1178,4
1693499040000,ABC,107.0576,5
1693499100000,ABC,106.9233,1
1693499160000,ABC,106.7223,2
1693499220000,ABC,106.4646,3
1693499280000,ABC,106.1625,4
1693499340000,ABC,105.8300,5
1693499400000,ABC,105.4823,1
1693499460000,ABC,105.1353,2
1693499520000,ABC,104.8049,3
1693499580000,ABC,104.5061,4
1693499640000,ABC,104.2530,5
1693499700000,ABC,104.0576,1
1693499760000,ABC,103.9296,2
1693499820000,ABC,103.8762,3
1693499880000,ABC,103.9014,4
1693499940000,ABC,104.0064,5
1693500000000,ABC,104.1888,1
1693500060000,ABC,104.4435,2
1693500120000,ABC,104.7622,3
1693500180000,ABC,105.1342,4
1693500240000,ABC,105.5467,5
1693500300000,ABC,105.9853,1
1693500360000,ABC,106.4344,2
1693500420000,ABC,106.8782,3
1693500480000,ABC,107.3009,4
1693500540000,ABC,107.6877,5
1693500600000,ABC,108.0251,1
1693500660000,ABC,108.3018,2
1693500720000,ABC,108.5086,3
1693500780000,ABC,108.6393,4
1693500840000,ABC,108.6907,5
1693500900000,ABC,108.6628,1
1693500960000,ABC,108.5585,2
1693501020000,ABC,108.3842,3
1693501080000,ABC,108.1488,4
1693501140000,ABC,107.8635,5
1693501200000,ABC,107.5418,1
1693501260000,ABC,107.1985,2
1693501320000,ABC,106.8493,3
1693501380000,ABC,106.5101,4
1693501440000,ABC,106.1964,5
1693501500000,ABC,105.9227,1
1693501560000,ABC,105.7020,2
1693501620000,ABC,105.5449,3
1693501680000,ABC,105.4598,4
1693501740000,ABC,105.4520,5
1693501800000,ABC,105.5239,1
1693501860000,ABC,105.6746,2
1693501920000,ABC,105.9001,3
1693501980000,ABC,106.1933,4
1693502040000,ABC,106.5446,5
1693502100000,ABC,106.9419,1
1693502160000,ABC,107.3715,2
1693502220000,ABC,107.8181,3
1693502280000,ABC,108.2661,4
1693502340000,ABC,108.6994,5
1693502400000,ABC,109.1029,1
1693502460000,ABC,109.4623,2
1693502520000,ABC,109.7655,3
1693502580000,ABC,110.0023,4
1693502640000,ABC,110.1652,5
1693502700000,ABC,110.2498,1
1693502760000,ABC,110.2547,2
1693502820000,ABC,110.1816,3
1693502880000,ABC,110.0355,4
1693502940000,ABC,109.8242,5
1693503000000,ABC,109.5582,1
1693503060000,ABC,109.2499,2
1693503120000,ABC,108.9137,3
1693503180000,ABC,108.5651,4
1693503240000,ABC,108.2198,5
1693503300000,ABC,107.8936,1
1693503360000,ABC,107.6016,2
1693503420000,ABC,107.3574,3
1693503480000,ABC,107.1727,4
1693503540000,ABC,107.0568,5
1693503600000,ABC,107.0164,1
1693503660000,ABC,107.0551,2
1693503720000,ABC,107.1734,3
1693503780000,ABC,107.3684,4
1693503840000,ABC,107.6345,5
1693503900000,ABC,107.9629,1
1693503960000,ABC,108.3427,2
1693504020000,ABC,108.7607,3
1693504080000,ABC,109.2021,4
1693504140000,ABC,109.6514,5
1693504200000,ABC,110.0927,1
1693504260000,ABC,110.5104,2
1693504320000,ABC,110.8898,3
1693504380000,ABC,111.2178,4
1693504440000,ABC,111.4832,5
1693504500000,ABC,111.6776,1
1693504560000,ABC,111.7951,2
1693504620000,ABC,111.8331,3
1693504680000,ABC,111.7920,4
1693504740000,ABC,111.6755,5
1693504800000,ABC,111.4902,1
1693504860000,ABC,111.2455,2
1693504920000,ABC,110.9532,3
1693504980000,ABC,110.6268,4
1693505040000,ABC,110.2814,5
1693505100000,ABC,109.9328,1
1693505160000,ABC,109.5968,2
1693505220000,ABC,109.2888,3
1693505280000,ABC,109.0232,4
1693505340000,ABC,108.8124,5
1693505400000,ABC,108.6670,1
1693505460000,ABC,108.5946,2
1693505520000,ABC,108.6001,3
1693505580000,ABC,108.6854,4
1693505640000,ABC,108.8490,5
1693505700000,ABC,109.0865,1
1693505760000,ABC,109.3902,2
1693505820000,ABC,109.7501,3
1693505880000,ABC,110.1539,4
1693505940000,ABC,110.5874,5
1693506000000,ABC,111.0354,1
1693506060000,ABC,111.4820,2
1693506120000,ABC,111.9113,3
1693506180000,ABC,112.3083,4
1693506240000,ABC,112.6592,5
1693506300000,ABC,112.9518,1
1693506360000,ABC,113.1766,2
1693506420000,ABC,113.3266,3
1693506480000,ABC,113.3978,4
1693506540000,ABC,113.3893,5
1693506600000,ABC,113.3036,1
1693506660000,ABC,113.1459,2
1693506720000,ABC,112.9246,3
1693506780000,ABC,112.6505,4
1693506840000,ABC,112.3365,5
1693506900000,ABC,111.9971,1
1693506960000,ABC,111.6479,2
1693507020000,ABC,111.3048,3
1693507080000,ABC,110.9833,4
1693507140000,ABC,110.6985,5
1693507200000,ABC,110.4635,1
1693507260000,ABC,110.2898,2
1693507320000,ABC,110.1862,3
1693507380000,ABC,110.1590,4
1693507440000,ABC,110.2111,5
1693507500000,ABC,110.3425,1
1693507560000,ABC,110.5500,2
1693507620000,ABC,110.8272,3
1693507680000,ABC,111.1651,4
1693507740000,ABC,111.5523,5
1693507800000,ABC,111.9753,1
1693507860000,ABC,112.4191,2
1693507920000,ABC,112.8682,3
1693507980000,ABC,113.3066,4
1693508040000,ABC,113.7189,5
1693508100000,ABC,114.0905,1
1693508160000,ABC,114.4086,2
1693508220000,ABC,114.6627,3
1693508280000,ABC,114.8444,4
1693508340000,ABC,114.9487,5
1693508400000,ABC,114.9733,1
1693508460000,ABC,114.9192,2
1693508520000,ABC,114.7905,3
1693508580000,ABC,114.5945,4
1693508640000,ABC,114.3409,5
1693508700000,ABC,114.0419,1
1693508760000,ABC,113.7112,2
1693508820000,ABC,113.3642,3
1693508880000,ABC,113.0165,4
1693508940000,ABC,112.6842,5
1693509000000,ABC,112.3824,1
1693509060000,ABC,112.1252,2
1693509120000,ABC,111.9247,3
1693509180000,ABC,111.7911,4
1693509240000,ABC,111.7316,5
1693509300000,ABC,111.7505,1
1693509360000,ABC,111.8491,2
1693509420000,ABC,112.0256,3
1693509480000,ABC,112.2747,4
1693509540000,ABC,112.5887,5
1693509600000,ABC,112.9569,1
1693509660000,ABC,113.3667,2
1693509720000,ABC,113.8038,3
1693509780000,ABC,114.2526,4
1693509840000,ABC,114.6974,5
1693509900000,ABC,115.1223,1
1693509960000,ABC,115.5125,2
1693510020000,ABC,115.8543,3
1693510080000,ABC,116.1362,4
1693510140000,ABC,116.3488,5
1693510200000,ABC,116.4857,1
1693510260000,ABC,116.5435,2
1693510320000,ABC,116.5218,3
1693510380000,ABC,116.4235,4
1693510440000,ABC,116.2545,5
1693510500000,ABC,116.0235,1
1693510560000,ABC,115.7417,2
1693510620000,ABC,115.4224,3
1693510680000,ABC,115.0803,4
1693510740000,ABC,114.7310,5
